Setting,Recognize,Remember,Respond,UTC Timestamp,Recognizing Party,Remembering Party,Responding Party,Risk Score
Smart fridge,Barcode,Inventory,Suggest recipes,2024-07-30T13:38:33.967817+00:00,Party_64,Party_89,Party_25,71
Smart tourism,Visitor preferences,Tour history,Customized tour suggestions,2024-07-30T13:38:33.967825+00:00,Party_48,Party_90,Party_92,61
Autonomous vehicle,Traffic signal,Route map,Adjust speed,2024-07-30T13:38:33.967832+00:00,Party_61,Party_76,Party_36,92
Corporate network,VPN credentials,Access logs,Grant network access,2024-07-30T13:38:33.967841+00:00,Party_80,Party_41,Party_21,6
Smart education,Student engagement,Learning progress,Adaptive learning content,2024-07-30T13:38:33.967849+00:00,Party_17,Party_31,Party_35,89
Fitness tracker,User profile,Activity data,Provide feedback,2024-07-30T13:38:33.967857+00:00,Party_2,Party_10,Party_17,6
Event entry,Ticket,Event attendee list,Allow entry,2024-07-30T13:38:33.967865+00:00,Party_95,Party_46,Party_49,22
Voting booth,Voter ID,Voter registry,Allow voting,2024-07-30T13:38:33.967873+00:00,Party_72,Party_22,Party_56,92
Smart lighting,Motion sensor,Lighting preferences,Adjust lighting,2024-07-30T13:38:33.967881+00:00,Party_32,Party_54,Party_30,18
E-commerce checkout,Payment method,Order history,Process payment,2024-07-30T13:38:33.967888+00:00,Party_95,Party_49,Party_36,26
Smart logistics,Package ID,Delivery route,Optimize delivery schedule,2024-07-30T13:38:33.967896+00:00,Party_70,Party_61,Party_34,8
Library,Library card,Borrower records,Lend book,2024-07-30T13:38:33.968002+00:00,Party_78,Party_25,Party_91,18
Smart manufacturing,Machine status,Maintenance schedule,Schedule repair,2024-07-30T13:38:33.968012+00:00,Party_37,Party_55,Party_21,39
Gym access,Membership card,Member database,Grant entry,2024-07-30T13:38:33.968020+00:00,Party_85,Party_21,Party_59,80
Hotel check-in,Reservation number,Booking system,Assign room,2024-07-30T13:38:33.968027+00:00,Party_94,Party_82,Party_48,32
Cognitive security - Email,Suspicious email,Known phishing patterns,Block email,2024-07-30T13:38:33.968035+00:00,Party_73,Party_31,Party_44,9
